user_id,item_id,rating
U001,P001,1.0
U001,P002,2.2
U001,P003,3.4
U001,P004,4.0
U001,P005,5.2
U002,P006,1.4
U002,P007,2.0
U002,P008,3.2
U002,P009,4.4
U002,P010,5.0
U003,P001,1.2
U003,P002,2.4
U003,P003,3.0
U003,P004,4.2
U003,P005,5.4
U004,P006,1.0
U004,P007,2.2
U004,P008,3.4
U004,P009,4.0
U004,P010,5.2
U005,P001,1.4
U005,P002,2.0
U005,P003,3.2
U005,P004,4.4
U005,P005,5.0
U006,P006,1.2
U006,P007,2.4
U006,P008,3.0
U006,P009,4.2
U006,P010,5.4
U007,P001,1.0
U007,P002,2.2
U007,P003,3.4
U007,P004,4.0
U007,P005,5.2
U008,P006,1.4
U008,P007,2.0
U008,P008,3.2
U008,P009,4.4
U008,P010,5.0
U009,P001,1.2
U009,P002,2.4
U009,P003,3.0
U009,P004,4.2
U009,P005,5.4
U010,P006,1.0
U010,P007,2.2
U010,P008,3.4
U010,P009,4.0
U010,P010,5.2
U011,P001,1.4
U011,P002,2.0
U011,P003,3.2
U011,P004,4.4
U011,P005,5.0
U012,P006,1.2
U012,P007,2.4
U012,P008,3.0
U012,P009,4.2
U012,P010,5.4
U013,P001,1.0
U013,P002,2.2
U013,P003,3.4
U013,P004,4.0
U013,P005,5.2
U014,P006,1.4
U014,P007,2.0
U014,P008,3.2
U014,P009,4.4
U014,P010,5.0
U015,P001,1.2
U015,P002,2.4
U015,P003,3.0
U015,P004,4.2
U015,P005,5.4
U016,P006,1.0
U016,P007,2.2
U016,P008,3.4
U016,P009,4.0
U016,P010,5.2
U017,P001,1.4
U017,P002,2.0
U017,P003,3.2
U017,P004,4.4
U017,P005,5.0
U018,P006,1.2
U018,P007,2.4
U018,P008,3.0
U018,P009,4.2
U018,P010,5.4
U019,P001,1.0
U019,P002,2.2
U019,P003,3.4
U019,P004,4.0
U019,P005,5.2
U020,P006,1.4
U020,P007,2.0
U020,P008,3.2
U020,P009,4.4
U020,P010,5.0
