Movie,Recommendation
The Shawshank Redemption,The Green Mile
The Shawshank Redemption,Schindler's List
The Shawshank Redemption,Forrest Gump
The Godfather,The Godfather: Part II
The Godfather,Goodfellas
The Godfather,Casino
Inception,Interstellar
Inception,Tenet
Inception,The Matrix
Titanic,The Notebook
Titanic,The Great Gatsby
Titanic,Atonement
Forrest Gump,Cast Away
Forrest Gump,The Curious Case of Benjamin Button
Forrest Gump,Rain Man
The Dark Knight,Batman Begins
The Dark Knight,Joker
The Dark Knight,The Prestige
Gladiator,Braveheart
Gladiator,Troy
Gladiator,300
The Matrix,Equilibrium
The Matrix,Blade Runner
The Matrix,Minority Report
Avengers: Endgame,Avengers: Infinity War
Avengers: Endgame,Iron Man
Avengers: Endgame,Guardians of the Galaxy
Interstellar,Gravity
Interstellar,Contact
Interstellar,2001: A Space Odyssey
The Lion King,Tarzan
The Lion King,Mulan
The Lion King,Aladdin
Frozen,Tangled
Frozen,Moana
Frozen,Encanto
Finding Nemo,Finding Dory
Finding Nemo,Up
Finding Nemo,Wall-E
Toy Story,Toy Story 2
Toy Story,Monsters, Inc.
Toy Story,Cars
Harry Potter and the Sorcerer's Stone,Harry Potter and the Chamber of Secrets
Harry Potter and the Sorcerer's Stone,Harry Potter and the Prisoner of Azkaban
Harry Potter and the Sorcerer's Stone,Fantastic Beasts and Where to Find Them
